playerId,season,name,team,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8471709,2022,Marc-Edouard Vlasic,SJS,D,other,4,153.0,3.0,0.17,0.11,0.48,0.5,0.89,0.33,0.88,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,492.0,0.0,0.0,0.0,0.0,0.79,0.02,0.02,0.02,0.02,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.01,0.0,0.0,0.03,0.03,0.03,1.58,0.19,0.19,0.19,0.19,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.08,0.11,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.02,0.0,0.0,0.21,0.21,0.21,0.75,0.81,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,all,4,4546.0,96.0,0.17,0.41,0.52,0.42,0.52,0.4,0.54,14.0,4.88,0.15,0.24,1.38,0.15,2.81,2.27,0.15,0.15,0.15,0.0,0.0,5.0,2.0,6.0,13.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,12.81,7.0,6.95,0.0,0.05,0.0,0.0,0.2,0.2,0.19,96.0,10.0,17.0,12.0,57.0,11.0,12.0,11.0,62.0,0.0,0.0,9854.0,0.0,0.0,0.0,4.0,31.29,2.83,2.74,2.75,2.66,29.0,14.0,18.0,61.0,0.0,2.0,0.0,30.0,11.0,2.0,0.83,1.44,0.57,0.0,0.0,0.0,58.97,43.0,41.85,0.52,0.54,0.74,2.61,2.53,2.49,45.89,4.0,3.71,4.07,3.77,41.0,23.0,21.0,85.0,1.0,4.0,1.0,49.0,11.0,4.0,1.5,1.42,1.08,0.0,0.0,1.0,87.0,64.0,65.27,0.77,0.92,0.92,3.85,3.93,3.74,7.53,6.97,151.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,5on5,4,3711.0,77.0,0.17,0.51,0.38,0.48,0.43,0.47,0.45,15.0,4.09,0.14,0.22,1.13,0.13,2.58,1.8,0.14,0.14,0.14,0.0,0.0,4.0,2.0,5.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,10.81,6.0,5.95,0.0,0.04,0.0,0.0,0.18,0.18,0.18,77.0,7.0,7.0,12.0,51.0,10.0,10.0,10.0,47.0,0.0,0.0,7307.0,0.0,0.0,0.0,4.0,26.43,2.73,2.64,2.65,2.56,23.0,14.0,16.0,53.0,0.0,2.0,0.0,24.0,11.0,2.0,0.73,1.44,0.57,0.0,0.0,0.0,50.97,37.0,35.85,0.39,0.54,0.74,2.38,2.31,2.27,30.93,2.6,2.57,2.66,2.64,27.0,15.0,16.0,58.0,1.0,3.0,1.0,34.0,5.0,3.0,1.14,0.66,0.79,0.0,0.0,1.0,60.0,42.0,43.27,0.42,0.63,0.63,2.38,2.45,2.45,3.24,5.24,87.0,114.0,0.02,0.03,2.0,2.0,1.0,1.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,4on5,4,657.0,13.0,0.17,0.04,0.37,0.14,0.2,0.13,0.25,9.0,0.79,0.01,0.02,0.25,0.03,0.23,0.46,0.01,0.01,0.01,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.01,0.0,0.0,0.02,0.02,0.02,13.0,1.0,10.0,0.0,2.0,1.0,2.0,0.0,10.0,0.0,0.0,603.0,0.0,0.0,0.0,0.0,2.28,0.05,0.04,0.05,0.04,3.0,0.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,0.02,0.0,0.0,0.07,0.07,0.06,13.38,1.22,0.95,1.22,0.95,12.0,8.0,5.0,25.0,0.0,1.0,0.0,14.0,5.0,1.0,0.28,0.66,0.29,0.0,0.0,0.0,25.0,20.0,20.0,0.33,0.29,0.29,1.26,1.26,1.09,0.22,0.37,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8471709,2022,Marc-Edouard Vlasic,SJS,D,5on4,4,25.0,3.0,-0.48,1.0,0.75,1.0,0.8,1.0,0.77,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,820.0,0.0,0.0,0.0,0.0,1.79,0.03,0.03,0.03,0.03,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.1,0.0,0.0,0.13,0.13,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.26,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,other,2,37.0,0.0,1.05,0.79,0.97,0.25,0.5,0.33,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,1.0,0.47,0.56,0.56,0.56,0.56,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.56,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.56,0.56,0.56,1.16,0.15,0.15,0.15,0.15,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.02,0.13,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.03,0.0,0.0,0.18,0.18,0.18,0.57,0.02,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,all,2,1619.0,47.0,0.48,0.53,0.42,0.42,0.46,0.39,0.47,11.0,0.89,0.0,0.01,0.2,0.02,0.21,0.56,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.0,0.97,0.0,0.0,0.0,0.0,0.01,0.01,0.01,47.0,5.0,9.0,7.0,26.0,5.0,4.0,8.0,30.0,0.0,0.0,5581.0,6.0,2.0,1.0,3.0,11.99,1.75,1.72,1.73,1.7,14.0,2.0,6.0,22.0,2.0,2.0,0.0,12.0,1.0,3.0,0.36,0.17,1.22,0.0,1.0,1.0,21.74,16.0,15.98,0.15,0.66,0.66,1.23,1.22,1.21,18.4,1.56,1.54,1.59,1.58,20.0,5.0,5.0,30.0,2.0,1.0,0.0,20.0,4.0,1.0,0.53,0.45,0.57,1.0,0.0,1.0,30.94,25.0,25.61,0.33,0.04,0.04,1.85,1.89,1.87,3.89,5.41,76.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on5,2,1319.0,39.0,0.48,0.48,0.44,0.46,0.47,0.42,0.47,10.0,0.89,0.0,0.01,0.2,0.02,0.21,0.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.91,1.0,0.97,0.0,0.0,0.0,0.0,0.01,0.01,0.01,39.0,5.0,6.0,6.0,22.0,5.0,3.0,8.0,23.0,0.0,0.0,4013.0,6.0,2.0,1.0,2.0,8.43,0.68,0.67,0.67,0.66,9.0,2.0,5.0,16.0,1.0,1.0,0.0,9.0,1.0,1.0,0.24,0.17,0.27,0.0,1.0,0.0,15.74,11.0,10.98,0.11,0.27,0.27,0.53,0.51,0.51,10.91,0.73,0.72,0.76,0.76,12.0,3.0,4.0,19.0,1.0,0.0,0.0,12.0,3.0,0.0,0.41,0.32,0.0,1.0,0.0,0.0,19.94,15.0,15.61,0.13,0.0,0.0,0.86,0.9,0.89,2.23,2.82,56.0,62.0,0.23,0.0,5.0,0.0,5.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,4on5,2,263.0,8.0,0.48,0.43,0.01,0.38,0.12,0.33,0.17,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,7.0,0.0,0.0,624.0,0.0,0.0,0.0,0.0,3.09,0.51,0.49,0.51,0.49,4.0,0.0,1.0,5.0,0.0,1.0,0.0,3.0,0.0,1.0,0.11,0.0,0.39,0.0,0.0,0.0,5.0,4.0,4.0,0.03,0.39,0.39,0.14,0.14,0.14,6.33,0.68,0.67,0.68,0.67,6.0,2.0,0.0,8.0,1.0,1.0,0.0,7.0,0.0,1.0,0.1,0.0,0.57,0.0,0.0,1.0,8.0,8.0,8.0,0.17,0.04,0.04,0.8,0.8,0.8,0.03,2.23,3.0,23.0,0.01,0.0,1.0,0.0,1.0,0.0
8480950,2022,Ilya Lyubushkin,BUF,D,5on4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2022,Anders Lee,NYI,L,other,2,55.0,2.0,1.99,0.63,0.78,0.83,0.57,0.8,0.63,17.0,0.96,0.44,0.08,0.19,0.03,0.2,0.06,0.35,0.44,0.35,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.44,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.02,0.0,0.44,0.02,0.02,0.02,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,432.0,0.0,0.0,0.0,0.0,3.4,0.8,0.7,0.8,0.7,4.0,0.0,1.0,5.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.36,0.44,0.0,0.0,0.0,5.0,4.0,4.0,0.09,0.44,0.44,0.45,0.45,0.43,0.46,0.47,0.47,0.47,0.47,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.47,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.47,0.47,0.47,0.76,0.21,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2022,Anders Lee,NYI,L,all,2,2049.0,45.0,1.99,0.5,0.64,0.61,0.47,0.63,0.54,9.0,3.24,0.6,0.26,0.63,0.09,1.48,0.95,0.51,0.59,0.5,1.0,2.0,3.0,1.0,0.0,4.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,3.0,4.0,2.0,4.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,0.03,0.13,0.44,0.0,0.0,0.0,4.07,4.0,3.99,0.0,0.06,0.33,0.44,0.22,0.21,0.21,45.0,11.0,7.0,8.0,19.0,10.0,7.0,8.0,20.0,3.0,2.0,5151.0,4.0,0.0,0.0,2.0,24.48,2.57,2.38,2.55,2.37,27.0,8.0,12.0,47.0,4.0,3.0,1.0,25.0,8.0,2.0,0.81,0.98,0.77,3.0,0.0,1.0,47.79,35.0,35.11,0.44,0.83,0.83,2.18,2.17,2.1,15.47,2.57,2.45,2.64,2.51,17.0,4.0,9.0,30.0,2.0,2.0,0.0,12.0,5.0,4.0,0.36,0.58,1.62,0.0,1.0,1.0,29.58,21.0,21.06,0.24,0.9,0.9,1.91,1.94,1.91,5.68,3.16,83.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2022,Anders Lee,NYI,L,5on5,2,1500.0,36.0,1.99,0.31,0.62,0.47,0.51,0.5,0.58,6.0,2.28,0.16,0.17,0.44,0.06,1.28,0.89,0.16,0.15,0.15,1.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.03,0.13,0.0,0.0,0.0,0.0,3.07,3.0,2.99,0.0,0.04,0.33,0.0,0.2,0.19,0.19,36.0,5.0,6.0,7.0,18.0,8.0,5.0,5.0,18.0,1.0,2.0,3608.0,4.0,0.0,0.0,2.0,13.6,0.96,0.91,0.95,0.9,16.0,4.0,6.0,26.0,3.0,2.0,1.0,18.0,1.0,1.0,0.49,0.13,0.33,2.0,0.0,1.0,26.79,20.0,20.11,0.2,0.39,0.39,0.77,0.76,0.75,15.01,2.1,1.98,2.17,2.04,16.0,4.0,9.0,29.0,1.0,2.0,0.0,12.0,5.0,3.0,0.36,0.58,1.15,0.0,1.0,0.0,28.58,20.0,20.06,0.24,0.9,0.9,1.44,1.47,1.43,3.96,2.41,62.0,59.0,0.07,0.0,2.0,0.0,2.0,0.0
8475314,2022,Anders Lee,NYI,L,4on5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8475314,2022,Anders Lee,NYI,L,5on4,2,494.0,7.0,1.99,1.0,0.56,1.0,0.5,1.0,0.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,229.0,0.0,0.0,0.0,0.0,7.48,0.8,0.78,0.8,0.78,7.0,4.0,5.0,16.0,1.0,0.0,0.0,7.0,4.0,0.0,0.32,0.49,0.0,1.0,0.0,0.0,16.0,11.0,11.0,0.15,0.0,0.0,0.96,0.96,0.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.28,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8477845,2022,Trevor van Riemsdyk,WSH,D,other,3,12.0,0.0,1.27,0.0,0.43,0.0,0.88,0.0,0.8,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.64,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8477845,2022,Trevor van Riemsdyk,WSH,D,all,3,2824.0,57.0,2.3,0.37,0.54,0.47,0.57,0.46,0.55,16.0,2.34,0.04,0.08,0.59,0.07,1.04,1.17,0.04,0.04,0.03,0.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,2.0,2.0,3.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.93,3.0,2.94,2.0,0.02,0.0,0.0,0.06,0.06,0.05,57.0,7.0,10.0,7.0,33.0,3.0,6.0,9.0,39.0,0.0,0.0,7976.0,0.0,0.0,0.0,7.0,24.69,2.07,1.96,2.05,1.94,23.0,11.0,10.0,44.0,3.0,3.0,0.0,27.0,4.0,3.0,0.8,0.42,0.85,2.0,1.0,0.0,43.01,34.0,33.23,0.33,0.85,0.85,1.54,1.5,1.42,29.93,3.51,3.09,3.55,3.12,29.0,11.0,10.0,50.0,3.0,6.0,1.0,25.0,11.0,4.0,0.63,1.25,1.63,1.0,0.0,2.0,50.69,40.0,40.69,0.54,1.66,1.66,2.39,2.42,2.15,6.94,5.94,150.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0
8477845,2022,Trevor van Riemsdyk,WSH,D,5on5,3,2263.0,46.0,2.3,0.56,0.43,0.56,0.51,0.54,0.49,18.0,2.34,0.04,0.08,0.59,0.07,1.04,1.17,0.04,0.04,0.03,0.0,2.0,2.0,1.0,1.0,4.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,3.93,3.0,2.94,1.0,0.02,0.0,0.0,0.06,0.06,0.05,46.0,6.0,5.0,7.0,28.0,3.0,5.0,7.0,31.0,0.0,0.0,6093.0,0.0,0.0,0.0,4.0,21.95,1.63,1.55,1.61,1.53,19.0,11.0,10.0,40.0,3.0,2.0,0.0,24.0,4.0,2.0,0.73,0.42,0.49,2.0,1.0,0.0,39.01,30.0,29.23,0.29,0.49,0.49,1.44,1.4,1.32,19.1,1.3,1.29,1.33,1.33,18.0,8.0,6.0,32.0,1.0,1.0,0.0,19.0,7.0,0.0,0.55,0.75,0.0,1.0,0.0,0.0,32.69,26.0,26.69,0.25,0.09,0.09,1.46,1.49,1.49,3.23,4.34,98.0,94.0,0.22,0.05,7.0,2.0,5.0,1.0
